% Model:              COLINA_thin_increase_rad.mph
% Version:            COMSOL 6.3.0.420
% Date:               Nov 15 2025, 01:03
% Dimension:          2
% Nodes:              12457980
% Expressions:        2
% Description:        Streamline
% r                       z                        Streamline               Electric field norm
0.0014140677818567679     -0.19546153159959417     0                        9855.89467758698
0.001411955181227687      -0.19495304290674687     0                        9885.286104967425
0.001411788148331101      -0.1949129554816894      0                        9887.603220352423
0.0014103576712471712     -0.19457144929122194     0                        9907.659187880061
0.0014082667312621498     -0.19407608522180264     0                        9937.283063233743
0.0014061584706106735     -0.1935792400034397      0                        9966.995529844302
0.0014057122478109416     -0.1934744125275243      0                        9973.264451688146
0.0014045353985037237     -0.19319921590768296     0                        9989.976086369272
0.0014023913675298328     -0.19270124168009037     0                        10020.75869902203
0.0014002289772385447     -0.19220173301417684     0                        10051.636180789379
0.0013995021526158641     -0.19203444209153675     0                        10061.977391326018
0.0013985796502386124     -0.19182296999365278     0                        10075.24427951638
0.0013963935534012603     -0.1913248175029168      0                        10107.056666080845
0.0013941881752456012     -0.19082509210734        0                        10138.969517724287
0.0013931692816933608     -0.19059515489180529     0                        10153.653492873153
0.0013924908370189937     -0.19044258684906554     0                        10163.543538279031
0.0013902284970859222     -0.18993641364293967     0                        10196.911832436099
0.0013879459053458335     -0.189428578645905       0                        10230.38969557153
0.001386872891721901      -0.1891908285591049      0                        10246.062834011313
0.0013861669728272618     -0.18903496464792652     0                        10256.493701434187
0.0013837253165896385     -0.18849843694907653     0                        10292.964930627715
0.001381262351051784      -0.18796000161015744     0                        10329.56585306453
0.0013807569415102607     -0.18784985139928867     0                        10337.053475568195
0.0013794361809161995     -0.18756327433704892     0                        10356.852281153868
0.0013771311746485152     -0.1870661165619341      0                        10391.7632729461
0.0013748088123767131     -0.1865672829386125      0                        10426.791958809486
0.0013741200566735898     -0.1864197339989944      0                        10437.153022205743
0.0013730195551562335     -0.1861848709247291      0                        10453.883529934756
0.0013707547176783905     -0.18570416421168023     0                        10488.713654655896
0.0013684718965987698     -0.18522185578907382     0                        10523.659849079102
0.0013671107301744655     -0.18493531083969011     0                        10544.421790404193
0.001366706044929878      -0.18485033162082906     0                        10550.66463806579
0.00136428957109939       -0.18434479734109968     0                        10588.393526333646
0.0013618519739946229     -0.18383745533230794     0                        10626.257348577572
0.0013603479243159016     -0.18352569575375738     0                        10649.52452157085
0.0013599682707548127     -0.18344720557872563     0                        10655.468555258238
0.001357382775005322      -0.18291449880864308     0                        10696.403090904625
0.0013547751323384543     -0.18237974578925767     0                        10737.494884898484
0.0013538434983471352     -0.18218929607943776     0                        10752.129533881327
0.0013527978884120223     -0.18197630122829755     0                        10768.75463036005
0.0013502537293827756     -0.1814603919862707      0                        10809.619302137988
0.0013476905945555527     -0.18094252508564568     0                        10850.639052615956
0.0013470224070302296     -0.18080782874797807     0                        10861.308225285251
0.0013456998546019178     -0.18054219342433556     0                        10882.662669805664
0.0013431698605302599     -0.1800364803540354      0                        10923.932935358129
0.0013406219770728818     -0.17952884949297385     0                        10965.359721028166
0.0013399858451308493     -0.17940236490482717     0                        10975.681888850751
0.0013386803453136172     -0.17914367190718414     0                        10997.08854477553
0.0013361169920211367     -0.17863805184399678     0                        11039.576336273887
0.001333535609820118      -0.17813047831427387     0                        11082.228292500371
0.0013328164073887773     -0.1779893450455552      0                        11094.087876976191
0.0013315616648614938     -0.17774393042955494     0                        11114.995221899704
0.0013290055457882608     -0.1772461809005494      0                        11158.058085110062
0.0013264315700207419     -0.17674650291587024     0                        11201.28780178861
0.001325478094829817      -0.1765617965009218      0                        11217.267708553964
0.0013244531700018739     -0.17636382077850413     0                        11234.62649533453
0.001321860109220404      -0.17586491316258784     0                        11279.050655646852
0.0013192483477929935     -0.17536403273055934     0                        11323.650495303533
0.0013180058398626884     -0.17512630965679382     0                        11344.818048998679
0.0013172473691673728     -0.17498155623143336     0                        11357.87638682369
0.0013146181151973226     -0.17448148143234973     0                        11403.68815619413
0.001311969350970236      -0.17397938959012216     0                        11449.684721889429
0.0013105095364956115     -0.17370338605687824     0                        11474.969374697797
0.0013099284665756344     -0.17359376914873592     0                        11485.145730049773
0.0013072760178936538     -0.17309491370868915     0                        11532.163626282785
0.0013046035547879691     -0.17259401603197078     0                        11579.374022783075
0.0013028763721537305     -0.1722711948292411      0                        11609.800439168792
0.0013025261449980657     -0.17220585703201144     0                        11616.040779851324
0.0012996825235842612     -0.17167667049504837     0                        11667.31854346147
0.0012968166548744061     -0.17114514810056863     0                        11718.822667413018
0.0012954098116329433     -0.1708848774751006      0                        11744.042703440284
0.0012946030505476493     -0.1707360000063703      0                        11758.688261010635
0.0012917377763444887     -0.1702088374683895      0                        11811.239848213843
0.001288852229092783      -0.16967931911165374     0                        11864.02629461696
0.0012879055667505035     -0.16950589604307822     0                        11881.314437526764
0.0012866547542975779     -0.16927741817436176     0                        11904.424940107649
0.0012837513169320185     -0.16874894323690717     0                        11958.650968037331
0.0012808284323711755     -0.1682180610855244      0                        12013.124007677396
0.0012799877786480146     -0.16806558123199664     0                        12028.76974404963
0.0012785954913650632     -0.1678137928643722      0                        12054.96042029918
0.001275622166075883      -0.16727800746535684     0                        12111.56254683599
0.0012726293335743027     -0.16673970642914665     0                        12168.43044366005
0.0012719171536298278     -0.16661175722227672     0                        12181.947421340903
0.0012703718142376887     -0.16633497842835684     0                        12211.556983634367
0.0012675260682931502     -0.16582711126313107     0                        12266.747047721292
0.0012646633273751399     -0.16531694885527204     0                        12322.186544001763
0.001263993698216279      -0.16519772141390046     0                        12335.143025590007
0.0012620885146485625     -0.1648596831123741      0                        12372.48682191317
0.0012592029311535298     -0.164349705844482       0                        12429.474881241826
0.0012563003568564054     -0.16383737957346178     0                        12486.72543978552
0.0012557822421233131     -0.16374599666585057     0                        12496.93714112867
0.0012540948532517616     -0.16344918823495835     0                        12530.658343631734
0.0012512867142976242     -0.1629568186463713      0                        12587.202172115005
0.001248462494758725      -0.1624622272933658      0                        12644.001154701018
0.0012481404303595113     -0.16240586348189334     0                        12650.473987921056
0.0012464122111308787     -0.1621042399710125      0                        12685.608768942564
0.0012435002854416883     -0.16159769369575758     0                        12745.392854066773
0.0012405710099839254     -0.1610887601576198      0                        12805.458697903512
0.001239877551038897      -0.16096836992539645     0                        12819.667510759165
0.0012383501605164647     -0.1607039074617812      0                        12851.333208423044
0.0012354030291634747     -0.16019521328711375     0                        12913.05366890316
0.0012324381204358368     -0.15968407604232931     0                        12975.070556895927
0.0012316535056699131     -0.15954891569931345     0                        12991.469722736114
0.0012303578524327531     -0.15932625448181875     0                        13018.826504164661
0.0012275284786771835     -0.15884139200524053     0                        13079.278375728216
0.0012246825407623365     -0.15835427806062508     0                        13140.01096330134
0.0012236340332496677     -0.15817496106046294     0                        13162.367921752804
0.0012225158693368577     -0.15798416032990098     0                        13186.419314317394
0.0012197509743422435     -0.15751359106082202     0                        13246.634595176623
0.0012169702473363029     -0.15704087294928434     0                        13307.124854011648
0.0012158588301576518     -0.15685208555335167     0                        13331.28258990536
0.0012146633931228903     -0.15664950023124743     0                        13357.553799563395
0.0012122116586092129     -0.15623505044619482     0                        13411.850649368567
0.0012097480427948012     -0.15581891606888987     0                        13466.368200364555
0.0012090297002561913     -0.15569763994417793     0                        13482.256523843029
0.001207310158011601      -0.15540800278739825     0                        13520.87805908906
0.0012037508507886678     -0.15480968250589489     0                        13600.55071866144
0.0012031973993443493     -0.1547166282160361      0                        13612.941879247614
0.0012003655734082182     -0.1542419003831001      0                        13677.782969894855
0.0011975067539164996     -0.15376545986583348     0                        13742.8580031175
0.0011951469964116702     -0.15337239274697367     0                        13796.62511550212
0.0011927754318924106     -0.15297532141955508     0                        13852.476948778718
0.001188544131909684      -0.15226820467185842     0                        13951.561620974295
0.001186039662805873      -0.15185268770144855     0                        14009.785920335251
0.001183900337288012      -0.15149875449403666     0                        14060.962315134382
0.0011817523855557656     -0.15114352660534097     0                        14112.325913156472
0.0011807616456180378     -0.15097972257254771     0                        14136.010890797643
0.0011798399867687939     -0.15082757487708578     0                        14157.984726612378
0.0011774234839191373     -0.15042939342193856     0                        14216.44346043983
0.0011749951105919068     -0.15002956782550614     0                        14275.143581884828
0.0011736831407067492     -0.14981368398499245     0                        14306.838421974582
0.0011729902553985695     -0.1496998282860539      0                        14323.74356566828
0.001169915656312751      -0.14919553874519487     0                        14399.664175963564
0.001166820652164084      -0.14868857628609886     0                        14475.987203195704
0.0011650233508661786     -0.1483944837564876      0                        14520.262738907348
0.0011644122746126385     -0.14829463579890062     0                        14535.506532710571
0.0011613597597887049     -0.14779669377062768     0                        14612.574376083214
0.0011582872848778655     -0.14729611163979905     0                        14690.050844615625
0.0011564798480637618     -0.14700192008280213     0                        14735.583682601957
0.0011559099813571385     -0.1469092879972877      0                        14750.11821074403
0.0011527735011309776     -0.1464002767290176      0                        14831.104496998754
0.0011496157671993393     -0.14588847071584618     0                        14912.535451707461
0.0011477074123593448     -0.14557947792669823     0                        14961.697789977781
0.0011471559190262429     -0.14549029970156763     0                        14976.091398940885
0.001144045123619606      -0.14498803596864793     0                        15058.2624796488
0.0011409136409297534     -0.1444830164110584      0                        15140.88442670257
0.0011390097665073934     -0.14417625776428575     0                        15191.07059986935
0.0011385070757478405     -0.14409535957175792     0                        15204.482876808077
0.0011353842502617106     -0.1435935289143696      0                        15288.893932455376
0.0011322403757943285     -0.14308891222850176     0                        15373.773625459828
0.0011302394917185672     -0.14276806158191327     0                        15427.742722658464
0.0011297916526951586     -0.1426963314005479      0                        15439.975891370286
0.0011266529576461051     -0.14219431074960803     0                        15526.819468215816
0.0011234927484375585     -0.1416894663896612      0                        15614.151523730783
0.0011213082201293708     -0.14134084388584614     0                        15674.45906681973
0.0011210429678828113     -0.14129855053533183     0                        15681.876338789869
0.0011178920611366015     -0.14079674153155888     0                        15771.170764767221
